Product Name,Product Image Link,Product Price,Product Rating,Product Average Rating,Product Description,Merchant Name
ASUS L510MA N4020 4gb 128ssd w10+off365 1yr w10 15.6FHD,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/3/96992adc-899e-42b3-a3cd-b9da8d61d6b8.jpg,Rp4.949.000,5,4.8,,ALIENWARE OFFICIAL ID
ASUS BR1100FKA-BP0464T Cel-N4500 4GB 128GB Intel UHD Win10 Touchscreen,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/3/860dc883-7dc2-4a2a-a2db-f734b650ebb2.png,Rp4.994.000,5,4.9,,Yolori
ASUS L510MA N4020 4GB 256GB W10 OFF365 1YR 15.6FHD,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/26/2b2f3ab2-07ac-484c-a12b-6ad8b056f03b.png,Rp5.199.000,5,4.9,,royalltech
ASUS E410MA N4020 4GB 128ssd W10 14.0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/25/94defaf4-4872-4b07-9083-20b92263a5d9.png,Rp4.949.000,5,4.8,,royalltech
"Asus A409FA FHD321 Intel Core i3 10110 4GB 256ssd W10+OHS 14""FHD",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/5/78349d40-e7c6-46cc-bdda-9104a847c095.jpg,Rp6.999.000,5,4.9,,AGRES ID
"ASUS ZENBOOK 14 UM425UAZ R5-5500U 8GB 512GB 14"" FHD AMD RADEON W10 OHS",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/19/1a5d8686-d3c2-4b2f-8024-07c0b53db4b0.jpg,Rp12.499.000,5,5.0,,Collins Official
"LAPTOP ASUS VIVOBOOK A416JA I3-1005G1 4GB 512GB 14"" W10 KB BACKLIT OHS",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/28/74aebd7c-f73a-4a79-8fe4-9c1e1b302b63.jpg,Rp8.099.000,5,4.9,,Collins Official
"ASUS VIVOBOOK X441MA-GA031T (N4020/4GB/1TB/IntelHD/14""/W10) - Black",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/25/d4998a1a-3238-42c9-b320-4dbf056e0fc1.png,Rp5.129.000,5,5.0,,TIST Online
Asus Vivobook F412DA AMD Ryzen 3 3250 8GB 256ssd Vega3 W10 14.0FHD,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/23/96c02d3b-24ed-4ef2-8b99-6248d1ced55f.jpg,Rp7.299.000,5,4.7,,Top Tech
"ASUS VIVOBOOK A516MA DUALCORE N4020 4GB 256GB SSD 15,6"" FHD OHS W10",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/30/50bb5e23-c947-4651-91fc-056914fad076.jpg,Rp5.549.000,5,4.9,,Protech Computer
