Product Name,Product Image Link,Product Price,Product Rating,Product Average Rating,Product Description,Merchant Name
ASUS TUF A15 FA506IC RYZEN 7-4800H 8GB 512GB RTX3050 4GB OHS W10 144Hz,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/17/9f933899-3967-441e-a4e5-623a561dd8d5.jpg,Rp15.199.000,5,4.9,,Protech Computer
Lenovo Legion 5 Pro i7-11800H RTX3060 1TB SSD 16GB 165Hz 100%sRGB W11,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/7/1ebb825b-07e2-4788-9487-225785399b9d.jpg,Rp26.099.000,5,5.0,,Sinarmulia Sukses Makmur
ASUS TUF DASH F15 FX516PM i5-11300H 8/16GB 512GB RTX3060 144Hz W10 OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/7/2c7e1e63-4bd6-476e-b4f3-00bff1401a31.jpg,Rp16.859.000,5,4.9,,Collins Official
Asus TUF A15 FA506IC R735B6TO Ryzen 7 4800 8GB 512ssd RTX3050 4GB W10,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/24/0f48ec4a-70a3-48c6-9c91-c34b6b85bff5.png,Rp15.299.000,5,5.0,,AMD Official Store
Asus TUF FX506LH I565B6TO i5 10300 8GB 512ssd GTX1650 4GB W10+OHS 15.6,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/29/60ece0bd-3631-4dbc-aa4a-bb7931017027.png,Rp12.849.000,5,4.8,,Gaming Laptop ID
ACER NITRO 5 AN515-57-58UZ i5-11400H 8GB 512GB-SSD RTX3050-4GB 144Hz,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/12/3acc5940-f810-4f0d-9046-2feca466982a.jpg,Rp14.299.000,5,4.9,,EnVicStore
"ASUS ROG Zephyrus G14 GA401 Ryzen7 4800 8GB 512ssd GTX1650 4GB W10 14""",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/28/5421aa61-403b-4c98-98ed-b5beac26686e.png,Rp16.099.000,5,4.9,,royalltech
ASUS TUF F15 i5-10300H GTX 1650 FX506LH-I565B6B 144Hz 8GB 512GB FHD,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/28/8d6d4d08-d5f1-4160-a9a0-e15d4e9440b4.jpg,Rp12.899.000,5,5.0,,Distributor Laptop ID
Lenovo IdeaPad Slim 3 Celeron N4020 256GB SSD 4GB Win10+OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/14/be8f5bae-3f79-4855-8e90-9973c0d8bb5f.jpg,Rp5.799.000,5,5.0,,Lenovo Authorized Tangerang
Acer Nitro 5 Predator AN515-56 i5 11300 8GB 512ssd GTX1650 144Hz W10,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/15/28dbc212-6734-459f-94be-c390923b4cf1.png,Rp12.499.000,5,4.9,,AGRES ID
ASUS TUF GAMING F15 FX506HM GeForce RTX™ 3060 - i7 11800H 8GB 512ssd,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/13/2dbbc06c-bac0-4a01-b5c1-90d00a5f84bd.jpg,Rp20.699.000,5,4.9,,NVIDIA GeForce Laptop
ASUS ROG Zephyrus G14 GA401 Ryzen7 4800 16GB 512ssd GTX1650 4GB W10,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/28/c1d0c093-bbc7-45f9-81e2-d2aa9d73e04d.png,Rp16.599.000,5,4.7,,royalltech
ASUS L510MA N4020 4gb 128ssd w10+off365 1yr w10 15.6FHD,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/3/96992adc-899e-42b3-a3cd-b9da8d61d6b8.jpg,Rp4.995.000,5,4.8,,ALIENWARE OFFICIAL ID
Lenovo Yoga Slim 7 Pro 2UID | i7 1165G7 16GB 1TBssd MX450 2GB W10+OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/5/1b94a82c-5354-467d-9014-1ca3d64232a8.png,Rp18.499.000,5,5.0,,GAMER.ID
MSI Modern 14 B11SB [9S7-14D212-627] i5-1135G7 8GB 512GB MX450 2GB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/25/df269686-a89b-4d05-bdae-17fd9f9ecb49.jpg,Rp12.999.000,5,4.7,,MSI Official Store
"MSI MODERN 14 B10MW [9S7-14D114-644] i3-10110U 8GB 256GB 14"" FHD W10",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/11/e8754334-d1c6-4b6a-add3-c94d33e9f5d9.jpg,Rp8.099.000,5,4.9,,MSI Official Store
Laptop Lenovo ideapad Slim 3i Celeron N4020 256 GB SSD Win10+OHS Murah,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/12/25c10d7e-7e79-4cb8-91a1-0f69315c0a72.jpg,Rp5.799.000,5,5.0,,Sinarmulia Sukses Makmur
Asus ROG GA503QM R936G6W-O Zephyrus G15 R9 5900HS 16GB 1TBssd RTX3060,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/4/119e3cf1-0f2c-413d-b1a9-9c1e2d9dbe5d.jpg,Rp29.999.000,5,5.0,,ALIENWARE OFFICIAL ID
Asus TUF FX506LH I565B6TO i5 10300 8GB 512ssd GTX1650 4GB W10+OHS 15.6,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/27/abdb5009-32de-472a-b043-fb7e89946bfa.png,Rp13.649.000,5,4.6,,ROGS STORE
ASUS TUF Gaming A15 FA506IC Ryzen 7 4800H 8GB 512GB RTX 3050 144Hz OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/30/50d88b78-39db-4110-83f8-66946c2c4b2e.png,Rp14.999.000,5,5.0,,agusidstoreapple
Laptop HP 14s-CF2517TU/CF2518TU i3-10110U 256GB SSD 4GB WIN10+OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/22/0d2a105f-ed99-45e4-af38-ef6dbbcf6e76.jpg,Rp6.999.000,5,5.0,,Sinarmulia Sukses Makmur
Lenovo Ideapad Slim 3 - Amd Ryzen 5 5500U 8GB 512ssd 14.0FHD W10+OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/17/1734f061-ebe0-4413-aedb-aa1f2ae93f40.jpg,Rp9.499.000,5,4.8,,Top Tech
HP Pavilion Aero 13 be0000AU Ryzen 5 5600U 16GB 512ssd 13.3 WUXGA OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/12/c5cc8a69-f4c5-493c-b3d4-bde22cd5ea76.jpg,Rp12.349.000,5,4.9,,Top Tech
"Laptop HP 14s-fq1004AU Ryzen 5 5500U 512GB SSD 8GB 14"" FHD WIN10+OHS",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/13/75516df2-cff5-46d2-bf6b-bf6164cc16b8.png,Rp9.399.000,5,4.8,,agusidstoreapple
ACER PREDATOR NITRO 5 AN515-56 i5-11300H 16GB 512 SSD GTX 1650 W10 OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/28/64fc0b1d-4668-4ea7-b94b-8abb639069ef.jpg,Rp12.849.000,5,5.0,,Acer Official Store
"Laptop Asus Vivobook A509FA Core i3-10110U 4GB 256GB 15.6"" FHD W10+OHS",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/2/a08489ec-d56b-4cc6-81bf-981d1e620211.png,Rp7.200.000,5,5.0,,agusidstoreapple
Lenovo IdeaPad 3 14IGL05 Celeron N4020 4GB 256GB SSD Win10+OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/25/67b89f8e-5e35-43b5-ac86-710a0f9e6fc3.jpg,Rp5.899.000,5,5.0,,Lenovo Official
ASUS ROG STRIX G713QC RYZEN 7-5800H 8GB 512GB RTX3050 4G 144Hz W10 OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/18/926d8cb9-c46b-4f0e-b47a-83f85bac3c66.jpg,Rp18.299.000,5,4.9,,Collins Official
Acer Swift 3 Infinity 4 EVO SF314 58SN | i5 1135G7 16GB 512ssd W10+OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/19/e843632b-6e5a-41fd-a36f-926f7ce784ca.jpg,Rp11.699.000,5,4.8,,GAMER.ID
"Lenovo Ideapad Slim 3 Ryzen 5 5500 8GB 256GB Radeon Vega W10 15.6"" FHD",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/1/d4f463ff-e9f9-44f7-90ca-a4f733c4366f.jpg,Rp8.549.000,5,4.9,,Kingz Notebook
LENOVO IDEAPAD V14 AMD Athlon 3020E 8GB 256GB-SSD 14-HD WIN-10+OHS2019,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/12/38deb935-49a0-4d57-9351-935f1bbec532.jpg,Rp5.749.000,5,5.0,,EnVicStore
ASUS TUF A15 FA506IC RYZEN 7-4800H 8GB 512GB RTX3050 4GB 144Hz W10 OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/27/64801d80-51e5-482a-90eb-223fb592fcd5.jpg,Rp15.199.000,5,5.0,,Collins Official
Lenovo Legion 5 Ryzen 7 5800H RTX3060 512GB SSD 16GB Win+OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/27/5484dff4-e4e0-4d00-9f7f-9af8a63b031e.jpg,Rp21.599.000,5,4.9,,Sinarmulia Sukses Makmur
ASUS E410MA N4020 4GB 128ssd W10 14.0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/25/94defaf4-4872-4b07-9083-20b92263a5d9.png,Rp4.949.000,5,4.8,,royalltech
Laptop Xiaomi Redmi Book 15 / Redmibook 15 8/256,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/7/d7e2668f-c467-41b6-87bf-1ac1434e8adf.jpg,Rp6.810.000,5,4.9,,Barnaclestore
Lenovo Ideapad Slim 1 11 N4020 4GB 256ssd W10 OHS 11.6 05ID Gray,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/10/ddd64d96-9fe0-4e6f-a9fb-3f72f486a3cf.png,Rp4.699.000,5,4.9,,royalltech
"ASUS M415DA RYZEN 3-3250U/8GB/SSD 256GB/14""FHD IPS/WINDOWS 10/OHS 2019",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/12/fc9a644c-23e2-4d91-a013-bd501acc472c.jpg,Rp7.799.000,5,5.0,,aura technology
Laptop HP 14s-dk1506AU/dk1509AU ATHLON 3150 4GB 512GB SSD Win10+OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/13/48e92f0b-d53e-4163-98b5-fbd26762899e.jpg,Rp6.629.000,5,5.0,,Sinarmulia Sukses Makmur
Lenovo Legion 5 Ryzen 7 5800 16GB 512ssd RTX3050Ti 4GB W10+OHS 3QID,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/23/584b2c32-1508-4fac-9c1d-d7fdcf98c306.png,Rp20.499.000,5,4.9,,Legion Official Store
Lenovo Ideapad Slim 3 Ryzen 3-5300U 8GB 512GB-SSD FREE OHS-2019 WIN-10,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/14/abcbdae3-048b-4e08-817f-8add130a65ce.jpg,Rp8.529.000,4,4.3,,EnVicStore
HP VICTUS 16-e0088ax/e0089ax RYZEN 5 5600H RTX3060 512GB SSD 16GB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/23/98651962-3cab-4ca9-bb07-e02da6eaddcc.jpg,Rp17.449.000,5,5.0,,Sinarmulia Sukses Makmur
HP Victus 16-d0108tx i7-11800H RTX3050 512GB SSD 16GB 144Hz Win10+OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/27/846b9a93-9fe2-41ad-8330-bfa1cd2c7654.jpg,Rp17.999.000,5,5.0,,Sinarmulia Sukses Makmur
ASUS TUF GAMING A15 FA506IC GeForce RTX™ 3050 - Ryzen 7 4800 8GB 512,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/11/aec20832-8f4c-4065-b695-a4928b97ccc4.png,Rp15.299.000,5,4.9,,NVIDIA GeForce Laptop
Acer Nitro 5 AN515 57 58UZ i5-11400H RTX3050 8GB 512GB FHD IPS 144Hz,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/14/b3c8a6b3-9842-4ef6-b1d3-6803f401d291.jpg,Rp14.499.000,5,5.0,,ACER STORE AMBASADOR
Lenovo Legion 5 Ryzen 5 5600H RTX3050 512GB SSD 16GB IPS 165Hz Win,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/27/bc892705-b105-4a1b-8439-7dd2156fd69c.jpg,Rp17.499.000,5,5.0,,Sinarmulia Sukses Makmur
Laptop Gaming ASUS TUF FX506LH-I565B6T-O | I5-10300H/GTX1650/OHS 2019,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/11/fbe21f77-11c7-4fce-b0ff-fdaa7c8e42f9.jpg,Rp13.296.500,5,5.0,,Level99ID
Lenovo Ideapad Slim 3 15 Ryzen 5 5500 8GB 256ssd Vega7 W10 15.6FHD,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/29/8aa5c0a8-c7a0-4d22-8b30-8e5e77d78da8.jpg,Rp8.549.000,5,4.9,,ProStoreComputer
"DELL ALIENWARE M15 R5 RTX3060 RYZEN 7-5800H 32GB 1TB SSD 15,6FHD 165Hz",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/16/d37f66e2-4f38-4ffc-aef3-e36ec4726ccc.png,Rp27.499.000,5,4.5,,HRCOM
"MSI GE66 Raider 11UG-294ID i9-11980HK 16GB 1TB RTX3070 8GB 15.6"" QHD",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/9/3d1de136-95cb-44ed-9ca2-24c3a90f1866.jpg,Rp41.999.000,5,5.0,,MSI Official Store
LENOVO LEGION 5 PRO - RYZEN 7-5800H 16GB 1TB RTX3060 6GB OHS W10 165Hz,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/19/b6a06ef3-ddfa-406b-920b-84f7ec6bb26b.jpg,Rp26.599.000,5,5.0,,Protech Computer
HP Omen 15 i7 10750 16GB 1TB+256ssd GTX1660Ti 6GB W10 15.6FHD,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/4/85b87a5b-b7a1-4fb9-9f7b-04b7a6a6f582.png,Rp15.999.000,5,4.8,,Gaming Laptop ID
ASUS TUF Gaming F15 FX506LH-I565B6T-O - Fortress Gray,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/26/d58886c9-6a99-4de5-9492-49ee3ad984fb.jpg,Rp12.899.000,5,5.0,,Asus Official Store
Asus TUF FA506IC R735B6TO Ryzen 7 4800 8GB 512ssd RTX3050 4GB W10+OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/11/4e589c26-36b6-489a-8d59-bddd6c04e902.jpg,Rp15.299.000,5,5.0,,Gateway Indonesia Comp
Apple Macbook Pro 2020 M1 8GB 256GB SSD MYD82 MYDA2 Gray Silver Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/22/6056173b-9ccd-4337-8b61-f4c16802b5e4.jpg,Rp17.660.000,5,4.9,,Studio Ponsel
ASUS ROG STRIX-G G513QC RYZEN 7-5800H 8GB 512GB RTX3050 4GB OHS W10,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/27/c0bbb37a-6de2-461e-b085-c55f597f54e3.png,Rp17.999.000,5,4.6,,ROGS STORE
Apple Macbook Pro 2020 M1 8GB 512GB SSD MYD92 MYDC2 Gray Silver Resmi - c8df,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/22/168f1f3d-0f36-47ae-83cc-f5986a4fdd88.jpg,Rp19.795.000,5,4.9,,Studio Ponsel
Lenovo Legion 5 Pro Ryzen 7 5800H 32GB 1T SSDRTX GeForce RTX 3070 8GB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/13/094fa07a-e79e-423c-b6d5-920bdcbe4d83.jpg,Rp30.699.000,5,5.0,,Lenovo Official
MSI PRESTIGE 14 A11SCX [9S7-14C412-449] i7-1185G7 16GB 1TB GTX1650 4GB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/16/9b85eff6-c32c-4332-a8c2-f049a515174f.jpg,Rp20.999.000,5,5.0,,MSI Official Store
ACER PREDATOR NITRO 5 AN515-57 i5-11400H 8GB 512 SSD RTX 3050 W10 OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/7/69d8e928-a3e2-4cc3-9ad7-0032325f0d08.jpg,Rp14.499.000,5,4.9,,Acer Official Store
"LENOVO Legion 5 Pro Ryzen 7 5800H RTX3060 1TB SSD 16GB 16"" WQXGA W11",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/27/b6f5f1c1-39ea-462c-ad83-833bfd8af017.jpg,Rp24.499.000,5,5.0,,Sinarmulia Sukses Makmur
ASUS TUF A15 FA506IC RYZEN 7-4800H 8GB 512GB RTX3050 4GB OHS W10 144Hz,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/17/9f933899-3967-441e-a4e5-623a561dd8d5.jpg,Rp15.199.000,5,4.9,,Protech Computer
Lenovo Legion 5 Pro i7-11800H RTX3060 1TB SSD 16GB 165Hz 100%sRGB W11,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/7/1ebb825b-07e2-4788-9487-225785399b9d.jpg,Rp26.099.000,5,5.0,,Sinarmulia Sukses Makmur
ASUS TUF DASH F15 FX516PM i5-11300H 8/16GB 512GB RTX3060 144Hz W10 OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/7/2c7e1e63-4bd6-476e-b4f3-00bff1401a31.jpg,Rp16.859.000,5,4.9,,Collins Official
Asus TUF A15 FA506IC R735B6TO Ryzen 7 4800 8GB 512ssd RTX3050 4GB W10,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/24/0f48ec4a-70a3-48c6-9c91-c34b6b85bff5.png,Rp15.299.000,5,5.0,,AMD Official Store
Asus TUF FX506LH I565B6TO i5 10300 8GB 512ssd GTX1650 4GB W10+OHS 15.6,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/29/60ece0bd-3631-4dbc-aa4a-bb7931017027.png,Rp12.849.000,5,4.8,,Gaming Laptop ID
ACER NITRO 5 AN515-57-58UZ i5-11400H 8GB 512GB-SSD RTX3050-4GB 144Hz,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/12/3acc5940-f810-4f0d-9046-2feca466982a.jpg,Rp14.299.000,5,4.9,,EnVicStore
"ASUS ROG Zephyrus G14 GA401 Ryzen7 4800 8GB 512ssd GTX1650 4GB W10 14""",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/28/5421aa61-403b-4c98-98ed-b5beac26686e.png,Rp16.099.000,5,4.9,,royalltech
ASUS TUF F15 i5-10300H GTX 1650 FX506LH-I565B6B 144Hz 8GB 512GB FHD,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/28/8d6d4d08-d5f1-4160-a9a0-e15d4e9440b4.jpg,Rp12.899.000,5,5.0,,Distributor Laptop ID
Lenovo IdeaPad Slim 3 Celeron N4020 256GB SSD 4GB Win10+OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/14/be8f5bae-3f79-4855-8e90-9973c0d8bb5f.jpg,Rp5.799.000,5,5.0,,Lenovo Authorized Tangerang
Acer Nitro 5 Predator AN515-56 i5 11300 8GB 512ssd GTX1650 144Hz W10,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/15/28dbc212-6734-459f-94be-c390923b4cf1.png,Rp12.499.000,5,4.9,,AGRES ID
ASUS TUF GAMING F15 FX506HM GeForce RTX™ 3060 - i7 11800H 8GB 512ssd,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/13/2dbbc06c-bac0-4a01-b5c1-90d00a5f84bd.jpg,Rp20.699.000,5,4.9,,NVIDIA GeForce Laptop
ASUS ROG Zephyrus G14 GA401 Ryzen7 4800 16GB 512ssd GTX1650 4GB W10,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/28/c1d0c093-bbc7-45f9-81e2-d2aa9d73e04d.png,Rp16.599.000,5,4.7,,royalltech
ASUS L510MA N4020 4gb 128ssd w10+off365 1yr w10 15.6FHD,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/3/96992adc-899e-42b3-a3cd-b9da8d61d6b8.jpg,Rp4.995.000,5,4.8,,ALIENWARE OFFICIAL ID
Lenovo Yoga Slim 7 Pro 2UID | i7 1165G7 16GB 1TBssd MX450 2GB W10+OHS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/5/1b94a82c-5354-467d-9014-1ca3d64232a8.png,Rp18.499.000,5,5.0,,GAMER.ID
MSI Modern 14 B11SB [9S7-14D212-627] i5-1135G7 8GB 512GB MX450 2GB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/25/df269686-a89b-4d05-bdae-17fd9f9ecb49.jpg,Rp12.999.000,5,4.7,,MSI Official Store
"MSI MODERN 14 B10MW [9S7-14D114-644] i3-10110U 8GB 256GB 14"" FHD W10",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/11/e8754334-d1c6-4b6a-add3-c94d33e9f5d9.jpg,Rp8.099.000,5,4.9,,MSI Official Store
